sag	metagenome	Percent_scaffolds_with_any_coverage	Percent_of_reference_bases_covered	Average_coverage	total_reads_recruited	total_bp_recruited	mg_wgs_technology	mg_read_count	mg_bp_count	sag_completeness	sag_total_bp	sag_size_mbp	MG_reads_per_SAG_mbp	MG_bp_per_SAG_mpb	prop_total_MG_reads_recruited_per_SAG_mbp	prop_total_MG_bp_recruited_per_SAG_mbp
AAA008-D05	TARA_098_meso488	100	91.99282699	30.29531937	116896	19627404	illumina	130074900	22116614177	25.86	608374	0.608374	192144.9635	32262069.06	0.001477187	0.001458725
AAA008-D05	TARA_098_sur5	0	0	0	0	0	illumina	58754158	9878421999	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_100_dcm50	0	0	0	0	0	illumina	97721533	16791532790	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_100_meso177	100	71.48039422	6.567886298	24281	3912797	illumina	102820276	16954852299	25.86	608374	0.608374	39911.30456	6431565.123	0.000388166	0.000379335
AAA008-D05	TARA_100_sur5	0	0	0	0	0	illumina	80127198	13462086673	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_102_dcm40	100	0.105106582	0.001044926	1	170	illumina	107258179	18294105975	25.86	608374	0.608374	1.643725734	279.4333749	1.53E-08	1.53E-08
AAA008-D05	TARA_102_meso480	100	88.89876921	13.60395019	52670	8621292	illumina	43477634	7205571441	25.86	608374	0.608374	86575.03444	14171039.53	0.001991255	0.001966678
AAA008-D05	TARA_102_sur5	0	0	0	0	0	illumina	38887246	6713889375	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_109_dcm30	100	0.523328011	0.005203867	1	176	illumina	61935894	10500244075	25.86	608374	0.608374	1.643725734	289.2957293	2.65E-08	2.76E-08
AAA008-D05	TARA_109_meso380	100	90.49691646	21.4228621	81754	13780780	illumina	99309480	16993100177	25.86	608374	0.608374	134381.1537	22651822.73	0.001353155	0.001333001
AAA008-D05	TARA_109_sur5	0	0	0	0	0	illumina	132166824	22552517702	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_110_dcm50	0	0	0	0	0	illumina	18372038	3073513779	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_110_meso380	100	90.01959263	15.72347821	61650	10005662	illumina	173735893	28577987883	25.86	608374	0.608374	101335.6915	16446564.12	0.000583274	0.000575498
AAA008-D05	TARA_110_sur5	0	0	0	0	0	illumina	148566602	24357936696	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_111_dcm90	100	0.360857137	0.003588371	1	177	illumina	27250868	4601869512	25.86	608374	0.608374	1.643725734	290.939455	6.03E-08	6.32E-08
AAA008-D05	TARA_111_sur5	100	0.19883097	0.002397337	2	330	illumina	171989566	27809439741	25.86	608374	0.608374	3.287451469	542.4294924	1.91E-08	1.95E-08
AAA008-D05	TARA_112_dcm155	100	1.379325561	0.023322332	54	9004	illumina	166203379	27843604685	25.86	608374	0.608374	88.76118966	14800.10651	5.34E-07	5.32E-07
AAA008-D05	TARA_112_meso696	100	91.5845376	18.94075095	71661	12053285	illumina	78872644	13436760795	25.86	608374	0.608374	117791.0299	19812294.74	0.001493433	0.001474484
AAA008-D05	TARA_112_sur5	0	0	0	0	0	illumina	176654942	28914336851	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_122_dcm115	100	0.347731539	0.006049543	4	675	illumina	120646849	20609375649	25.86	608374	0.608374	6.574902938	1109.514871	5.45E-08	5.38E-08
AAA008-D05	TARA_122_meso600a	100	86.75064761	9.643958399	35748	6058462	illumina	36981575	6358511239	25.86	608374	0.608374	58759.90756	9958449.901	0.001588897	0.001566161
AAA008-D05	TARA_122_meso600b	100	87.49424713	9.835544181	36467	6174548	illumina	37639227	6469731487	25.86	608374	0.608374	59941.74636	10149263.45	0.001592534	0.00156873
AAA008-D05	TARA_122_sur5	0	0	0	0	0	illumina	128494301	21643581950	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_123_eml150	100	0.720012913	0.012474948	26	4148	illumina	43387655	7166771202	25.86	608374	0.608374	42.7368691	6818.174347	9.85E-07	9.51E-07
AAA008-D05	TARA_123_sur5	0	0	0	0	0	illumina	103616193	17840247397	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_124_eml120_a	100	0.184418262	0.001775726	3	515	illumina	24335804	3937540501	25.86	608374	0.608374	4.931177203	846.5187533	2.03E-07	2.15E-07
AAA008-D05	TARA_124_eml120_b	100	0.300271497	0.003783804	7	1122	illumina	45076922	7293133964	25.86	608374	0.608374	11.50608014	1844.260274	2.55E-07	2.53E-07
AAA008-D05	TARA_124_sur5_a	100	0.336151672	0.006785562	6	1044	illumina	40674414	6779300446	25.86	608374	0.608374	9.862354407	1716.049667	2.42E-07	2.53E-07
AAA008-D05	TARA_124_sur5_b	100	0.570883505	0.00999039	12	1980	illumina	41680948	6945772056	25.86	608374	0.608374	19.72470881	3254.576954	4.73E-07	4.69E-07
AAA008-D05	TARA_125_eml140	100	0.103300528	0.003293641	3	302	illumina	94488148	16096648777	25.86	608374	0.608374	4.931177203	496.4051718	5.22E-08	3.08E-08
AAA008-D05	TARA_125_sur5_a	100	0.269740394	0.005713438	7	1213	illumina	36090695	6100543349	25.86	608374	0.608374	11.50608014	1993.839316	3.19E-07	3.27E-07
AAA008-D05	TARA_125_sur5_b	100	0.33766609	0.004656998	11	1794	illumina	36741196	6209411198	25.86	608374	0.608374	18.08098308	2948.843968	4.92E-07	4.75E-07
AAA008-D05	TARA_132_meso550	100	93.51158464	50.67262856	206315	32800376	illumina	180517690	29064245644	25.86	608374	0.608374	339125.2749	53914822.13	0.001878626	0.001855022
AAA008-D05	TARA_133_dcm45	0	0	0	0	0	illumina	156572539	25951485598	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_137_dcm40	100	33.85808577	1.141346984	3705	600213	illumina	45019438	7523392765	25.86	608374	0.608374	6090.003846	986585.5543	0.000135275	0.000131136
AAA008-D05	TARA_137_meso375_a	100	64.42375968	1.603045676	6571	1007213	illumina	47579735	7410374949	25.86	608374	0.608374	10800.9218	1655581.928	0.000227007	0.000223414
AAA008-D05	TARA_137_meso375_b	100	63.91471288	1.602591079	6406	984411	illumina	47614661	7416505024	25.86	608374	0.608374	10529.70706	1618101.694	0.000221144	0.000218176
AAA008-D05	TARA_138_dcm60	100	3.38971133	0.072082445	179	30015	illumina	94451012	16526127236	25.86	608374	0.608374	294.2269065	49336.42792	3.12E-06	2.99E-06
AAA008-D05	TARA_138_meso450_a	100	62.04519455	1.518222381	5525	918272	illumina	37434280	6335980996	25.86	608374	0.608374	9081.584683	1509387.318	0.000242601	0.000238225
AAA008-D05	TARA_138_meso450_b	100	61.5700075	1.402535714	5464	909700	illumina	37494866	6346350809	25.86	608374	0.608374	8981.317413	1495297.301	0.000239535	0.000235615
AAA008-D05	TARA_138_sur5	0	0	0	0	0	illumina	148956548	24515620092	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_142_dcm125	0	0	0	0	0	illumina	129702398	22128603162	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_142_meso640	100	92.54937606	32.32859112	124774	20908335	illumina	137572626	23399274428	25.86	608374	0.608374	205094.2348	34367568.31	0.001490807	0.001468745
AAA008-D05	TARA_145_meso590	100	95.30828808	42.2475771	160709	26458410	illumina	145458355	24282809910	25.86	608374	0.608374	264161.5191	43490369.41	0.001816063	0.001790994
AAA008-D05	TARA_145_sur5	100	10.02084774	0.11627075	417	70310	illumina	101098116	17443667348	25.86	608374	0.608374	685.4336313	115570.3564	6.78E-06	6.63E-06
AAA008-D05	TARA_146_sur5	100	0.302934032	0.00327291	6	940	illumina	149650203	25075871701	25.86	608374	0.608374	9.862354407	1545.10219	6.59E-08	6.16E-08
AAA008-D05	TARA_148b_meso250	100	0.718039314	0.010681649	26	4152	illumina	139942627	23450798350	25.86	608374	0.608374	42.7368691	6824.74925	3.05E-07	2.91E-07
AAA008-D05	TARA_149_meso740	100	93.30941235	36.20120121	146053	23653024	illumina	168362039	27617845794	25.86	608374	0.608374	240071.0747	38879084.25	0.001425922	0.001407752
AAA008-D05	TARA_152_meso800	100	92.03506949	27.505084	107219	17937076	illumina	146744865	24917975360	25.86	608374	0.608374	176238.6295	29483633.42	0.001200987	0.001183227
AAA008-D05	TARA_152_sur5	100	0.82454782	0.011382925	29	4763	illumina	109702890	18911511744	25.86	608374	0.608374	47.6680463	7829.065673	4.35E-07	4.14E-07
AAA286-M02	TARA_037_meso600	100	52.91638169	1.31674379	11091	1772114	illumina	138119151	22754587258	54.65	1518643	1.518643	7303.230582	1166906.245	5.29E-05	5.13E-05
AAA286-M02	TARA_038_dcm25	0	0	0	0	0	illumina	141302282	23950322584	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_038_meso340	100	11.37086306	0.22386887	1466	234388	illumina	48385424	8135002325	54.65	1518643	1.518643	965.3355002	154340.421	2.00E-05	1.90E-05
AAA286-M02	TARA_038_sur5	0	0	0	0	0	illumina	82081994	13385266487	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_039_dcm25	0	0	0	0	0	illumina	111717200	19513424647	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_039_meso270	100	2.51697056	0.097703149	364	55626	illumina	75320999	12548073144	54.65	1518643	1.518643	239.6876685	36628.75343	3.18E-06	2.92E-06
AAA286-M02	TARA_056_meso480	100	57.26382569	0.993902336	10004	1688496	illumina	7843247	1344874326	54.65	1518643	1.518643	6587.459989	1111845.246	0.000839889	0.000826728
AAA286-M02	TARA_056_sur5	0	0	0	0	0	illumina	152687351	23444662018	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_064_dcm65	100	0.279457428	0.002778277	1	170	illumina	55540498	9333215406	54.65	1518643	1.518643	0.658482606	111.942043	1.19E-08	1.20E-08
AAA286-M02	TARA_064_meso1000	100	91.29714964	6.288311808	66760	10943859	illumina	53130556	8833433215	54.65	1518643	1.518643	43960.29877	7206340.792	0.000827401	0.000815803
AAA286-M02	TARA_064_sur5	0	0	0	0	0	illumina	180390803	29737694236	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_065_dcm30	100	1.80095287	0.036336334	184	26272	illumina	116376549	17034924575	54.65	1518643	1.518643	121.1607995	17299.65502	1.04E-06	1.02E-06
AAA286-M02	TARA_065_meso850	100	93.99892409	14.23452885	154316	24967235	illumina	155155053	25486549814	54.65	1518643	1.518643	101614.4018	16440489.96	0.000654922	0.000645065
AAA286-M02	TARA_065_sur5	100	0.264299894	0.004854597	3	455	illumina	54078421	9129901435	54.65	1518643	1.518643	1.975447818	299.6095857	3.65E-08	3.28E-08
AAA286-M02	TARA_068_dcm50	100	0.585616163	0.006038348	3	506	illumina	31643656	5296515678	54.65	1518643	1.518643	1.975447818	333.1921986	6.24E-08	6.29E-08
AAA286-M02	TARA_068_meso700	100	95.3942521	17.3926422	190853	30502997	illumina	142556679	23108080669	54.65	1518643	1.518643	125673.3808	20085692.95	0.000881568	0.000869206
AAA286-M02	TARA_068_sur5	100	0.603678935	0.014769307	38	6092	illumina	36575555	6041514521	54.65	1518643	1.518643	25.02233902	4011.476035	6.84E-07	6.64E-07
AAA286-M02	TARA_070_meso800	100	95.0613382	11.62841669	122642	20217044	illumina	93983693	15695870172	54.65	1518643	1.518643	80757.62375	13312571.82	0.000859273	0.000848158
AAA286-M02	TARA_070_sur5	100	0.376601312	0.010979825	19	3098	illumina	47683276	7832023665	54.65	1518643	1.518643	12.51116951	2039.979113	2.62E-07	2.60E-07
AAA286-M02	TARA_072_dcm100	0	0	0	0	0	illumina	44872083	7471788986	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_072_meso800	100	87.74757014	3.708312579	39951	6587562	illumina	79019269	13213103814	54.65	1518643	1.518643	26307.03859	4337794.992	0.000332919	0.000328295
AAA286-M02	TARA_072_sur5	0	0	0	0	0	illumina	145316423	24299611193	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_076_dcm150	100	0.377142547	0.005125833	9	1522	illumina	134347028	21691680098	54.65	1518643	1.518643	5.926343453	1002.210526	4.41E-08	4.62E-08
AAA286-M02	TARA_076_meso800	100	96.4624606	22.05831934	235280	38380854	illumina	158117154	26146280939	54.65	1518643	1.518643	154927.7875	25273124.76	0.000979829	0.000966605
AAA286-M02	TARA_076_sur5	0	0	0	0	0	illumina	120202409	20779090899	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_078_dcm30	100	0.496666998	0.019901172	15	2170	illumina	119191753	19936478597	54.65	1518643	1.518643	9.877239088	1428.907255	8.29E-08	7.17E-08
AAA286-M02	TARA_078_meso800	100	94.78748755	14.3645828	151253	24882123	illumina	112306318	18704213213	54.65	1518643	1.518643	99597.46958	16384445.19	0.000886838	0.000875976
AAA286-M02	TARA_078_sur5	0	0	0	0	0	illumina	108109233	18314683605	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_085_dcm90	100	0.690226059	0.012796493	49	8019	illumina	137365648	22760974137	54.65	1518643	1.518643	32.26564769	5280.372016	2.35E-07	2.32E-07
AAA286-M02	TARA_085_meso790	100	93.00380388	5.900163197	62628	10408180	illumina	53916241	9042728173	54.65	1518643	1.518643	41239.44864	6853605.489	0.00076488	0.000757913
AAA286-M02	TARA_085_sur5	100	3.999047846	0.039761905	1	167	illumina	135557491	22075354517	54.65	1518643	1.518643	0.658482606	109.9665952	4.86E-09	4.98E-09
AAA286-M02	TARA_098_dcm188	100	0.166183653	0.00165172	1	163	illumina	80654027	12718401274	54.65	1518643	1.518643	0.658482606	107.3326648	8.16E-09	8.44E-09
AAA286-M02	TARA_098_meso488	100	94.58139172	15.58099426	166745	27936137	illumina	130074900	22116614177	54.65	1518643	1.518643	109798.6821	18395460.29	0.000844119	0.000831748
AAA286-M02	TARA_098_sur5	0	0	0	0	0	illumina	58754158	9878421999	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_100_dcm50	0	0	0	0	0	illumina	97721533	16791532790	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_100_meso177	100	57.16413459	1.237459968	14583	2329556	illumina	102820276	16954852299	54.65	1518643	1.518643	9602.651841	1533972.105	9.34E-05	9.05E-05
AAA286-M02	TARA_100_sur5	0	0	0	0	0	illumina	80127198	13462086673	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_102_dcm40	100	0.170941841	0.001699667	1	174	illumina	107258179	18294105975	54.65	1518643	1.518643	0.658482606	114.5759734	6.14E-09	6.26E-09
AAA286-M02	TARA_102_meso480	100	89.55976483	5.920590769	65598	10702786	illumina	43477634	7205571441	54.65	1518643	1.518643	43195.14198	7047598.415	0.000993503	0.000978076
AAA286-M02	TARA_102_sur5	0	0	0	0	0	illumina	38887246	6713889375	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_109_dcm30	0	0	0	0	0	illumina	61935894	10500244075	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_109_meso380	100	91.10910502	9.711810041	105640	17744679	illumina	99309480	16993100177	54.65	1518643	1.518643	69562.10248	11684562.47	0.000700458	0.000687606
AAA286-M02	TARA_109_sur5	0	0	0	0	0	illumina	132166824	22552517702	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_110_dcm50	0	0	0	0	0	illumina	18372038	3073513779	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_110_meso380	100	89.89748543	6.812759177	75926	12292991	illumina	173735893	28577987883	54.65	1518643	1.518643	49995.95033	8094720.747	0.00028777	0.00028325
AAA286-M02	TARA_110_sur5	0	0	0	0	0	illumina	148566602	24357936696	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_111_dcm90	100	0.147547335	0.001467243	1	178	illumina	27250868	4601869512	54.65	1518643	1.518643	0.658482606	117.2099038	2.42E-08	2.55E-08
AAA286-M02	TARA_111_sur5	100	0.215721523	0.002140908	1	131	illumina	171989566	27809439741	54.65	1518643	1.518643	0.658482606	86.26122137	3.83E-09	3.10E-09
AAA286-M02	TARA_112_dcm155	100	0.841978814	0.015604303	64	10671	illumina	166203379	27843604685	54.65	1518643	1.518643	42.14288677	7026.667887	2.54E-07	2.52E-07
AAA286-M02	TARA_112_meso696	100	94.52720103	11.06119042	116856	19646745	illumina	78872644	13436760795	54.65	1518643	1.518643	76947.64339	12937039.84	0.000975594	0.000962809
AAA286-M02	TARA_112_sur5	0	0	0	0	0	illumina	176654942	28914336851	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_122_dcm115	100	0.268309729	0.005436644	6	996	illumina	120646849	20609375649	54.65	1518643	1.518643	3.950895635	655.8486754	3.27E-08	3.18E-08
AAA286-M02	TARA_122_meso600a	100	86.79761982	4.227687175	44517	7515729	illumina	36981575	6358511239	54.65	1518643	1.518643	29313.67016	4948976.817	0.000792656	0.000778323
AAA286-M02	TARA_122_meso600b	100	86.78622858	4.403418125	45494	7677801	illumina	37639227	6469731487	54.65	1518643	1.518643	29957.00767	5055698.41	0.000795899	0.000781439
AAA286-M02	TARA_122_sur5	0	0	0	0	0	illumina	128494301	21643581950	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_123_eml150	100	1.104149537	0.048883954	131	19478	illumina	43387655	7166771202	54.65	1518643	1.518643	86.26122137	12825.9242	1.99E-06	1.79E-06
AAA286-M02	TARA_123_sur5	0	0	0	0	0	illumina	103616193	17840247397	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_124_eml120_a	100	0.617853415	0.02148055	23	3377	illumina	24335804	3937540501	54.65	1518643	1.518643	15.14509993	2223.69576	6.22E-07	5.65E-07
AAA286-M02	TARA_124_eml120_b	100	0.768745606	0.036524548	53	7862	illumina	45076922	7293133964	54.65	1518643	1.518643	34.89957811	5176.990247	7.74E-07	7.10E-07
AAA286-M02	TARA_124_sur5_a	100	0.432690853	0.013172442	12	1992	illumina	40674414	6779300446	54.65	1518643	1.518643	7.90179127	1311.697351	1.94E-07	1.93E-07
AAA286-M02	TARA_124_sur5_b	100	0.481172671	0.005117292	10	1699	illumina	41680948	6945772056	54.65	1518643	1.518643	6.584826059	1118.761947	1.58E-07	1.61E-07
AAA286-M02	TARA_125_eml140	100	1.442103228	0.041645371	31	4354	illumina	94488148	16096648777	54.65	1518643	1.518643	20.41296078	2867.033266	2.16E-07	1.78E-07
AAA286-M02	TARA_125_sur5_a	100	0.573853249	0.018314091	12	2093	illumina	36090695	6100543349	54.65	1518643	1.518643	7.90179127	1378.204094	2.19E-07	2.26E-07
AAA286-M02	TARA_125_sur5_b	100	0.418101407	0.008600535	8	1291	illumina	36741196	6209411198	54.65	1518643	1.518643	5.267860847	850.1010442	1.43E-07	1.37E-07
AAA286-M02	TARA_132_meso550	100	96.58545964	24.97271295	281568	44698220	illumina	180517690	29064245644	54.65	1518643	1.518643	185407.6304	29433000.38	0.001027088	0.001012688
AAA286-M02	TARA_133_dcm45	100	1.004570057	0.021290136	4	639	illumina	156572539	25951485598	54.65	1518643	1.518643	2.633930423	420.7703851	1.68E-08	1.62E-08
AAA286-M02	TARA_137_dcm40	100	8.015879188	0.153496518	1241	196227	illumina	45019438	7523392765	54.65	1518643	1.518643	817.1769139	129212.0663	1.82E-05	1.72E-05
AAA286-M02	TARA_137_meso375_a	100	50.07606372	0.820544711	8907	1363824	illumina	47579735	7410374949	54.65	1518643	1.518643	5865.10457	898054.3814	0.000123269	0.000121189
AAA286-M02	TARA_137_meso375_b	100	50.82454792	0.804078668	8888	1359885	illumina	47614661	7416505024	54.65	1518643	1.518643	5852.593401	895460.6185	0.000122916	0.000120739
AAA286-M02	TARA_138_dcm60	100	3.234304522	0.062753182	330	55153	illumina	94451012	16526127236	54.65	1518643	1.518643	217.2992599	36317.29116	2.30E-06	2.20E-06
AAA286-M02	TARA_138_meso450_a	100	46.48409078	0.712201979	7255	1202639	illumina	37434280	6335980996	54.65	1518643	1.518643	4777.291305	791916.8626	0.000127618	0.000124987
AAA286-M02	TARA_138_meso450_b	100	47.01194116	0.752608706	7406	1228289	illumina	37494866	6346350809	54.65	1518643	1.518643	4876.722179	808806.9415	0.000130064	0.000127444
AAA286-M02	TARA_138_sur5	0	0	0	0	0	illumina	148956548	24515620092	54.65	1518643	1.518643	0	0	0	0
AAA286-M02	TARA_142_dcm125	100	1.079952267	0.010740498	1	180	illumina	129702398	22128603162	54.65	1518643	1.518643	0.658482606	118.5268691	5.08E-09	5.36E-09
AAA286-M02	TARA_142_meso640	100	94.38267057	16.51808634	178678	29893572	illumina	137572626	23399274428	54.65	1518643	1.518643	117656.355	19684397.19	0.000855231	0.00084124
AAA286-M02	TARA_145_meso590	100	96.64695916	21.85948766	231069	38030102	illumina	145458355	24282809910	54.65	1518643	1.518643	152154.9173	25042160.67	0.001046038	0.001031271
AAA286-M02	TARA_145_sur5	100	8.370748092	0.098817802	827	138506	illumina	101098116	17443667348	54.65	1518643	1.518643	544.565115	91203.79181	5.39E-06	5.23E-06
AAA286-M02	TARA_146_sur5	100	0.768211127	0.022322955	43	6630	illumina	149650203	25075871701	54.65	1518643	1.518643	28.31475205	4365.739677	1.89E-07	1.74E-07
AAA286-M02	TARA_148b_meso250	100	2.809426309	0.050326522	325	51651	illumina	139942627	23450798350	54.65	1518643	1.518643	214.0068469	34011.28507	1.53E-06	1.45E-06
AAA286-M02	TARA_149_meso740	100	94.98640624	17.98665855	200732	32434322	illumina	168362039	27617845794	54.65	1518643	1.518643	132178.5304	21357436.87	0.000785085	0.00077332
AAA286-M02	TARA_152_meso800	100	93.67424085	12.89906105	138031	23042555	illumina	146744865	24917975360	54.65	1518643	1.518643	90891.01257	15173121.66	0.000619381	0.000608923
AAA286-M02	TARA_152_sur5	100	0.950672124	0.022896349	72	12056	illumina	109702890	18911511744	54.65	1518643	1.518643	47.41074762	7938.666296	4.32E-07	4.20E-07
AAA288-L16	TARA_037_meso600	100	57.9242585	3.410393065	24993	3996246	illumina	138119151	22754587258	73.45	2077613	2.077613	12029.67059	1923479.493	8.71E-05	8.45E-05
AAA288-L16	TARA_038_dcm25	0	0	0	0	0	illumina	141302282	23950322584	73.45	2077613	2.077613	0	0	0	0
AAA288-L16	TARA_038_meso340	100	12.67216042	0.391958717	2378	379325	illumina	48385424	8135002325	73.45	2077613	2.077613	1144.58275	182577.3135	2.37E-05	2.24E-05
